Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Geroprotectors,Leadlikeness
"hex-2-ene-1,4-diol",OCC=CC(O)CC,116.159,0.5941,2.0,2.0,104.98,0.24957,3.0,1,True
"6,6,9a-trimethyl-1H,3H,5H,5aH,6H,7H,8H,9H,9aH,9bH-naphtho[1,2-c]furan-1,7-diol",OC1OCC2=CCC3C(C)(C)C(O)CCC3(C)C21,252.353,2.03,3.0,2.0,183.05,0.19776,0.0,1,True
"2-ethyl-4-(hydroxymethyl)-2,3-dihydrofuran-3-one",O=C1C(=COC1CC)CO,142.153,-0.1373,3.0,1.0,111.09,0.32532,2.0,1,True
5-aminopentanamide,O=C(N)CCCCN,116.163,-0.6582,3.0,2.0,103.33,0.42176,4.0,1,True
"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one",O=C(C(O)=CO)CCSC,162.208,0.0968,3.0,2.0,125.93,0.45049,4.0,1,True
2-methyl-3-oxobutanoic acid,O=C(O)C(C(=O)C)C,116.116,-0.225,3.0,1.0,92.37,0.42416,2.0,1,True
3-hydroxy-5-methylhexanoic acid,O=C(O)CC(O)CC(C)C,146.185,0.715,3.0,2.0,120.99,0.32432,4.0,1,True
3-[(2-aminoethyl)sulfanyl]-2-methylpropanoic acid,O=C(O)C(C)CSCCN,163.24,-2.0315,3.0,2.0,129.65,0.4543,5.0,1,True
1-Piperideine-2-Carboxylate,O=C(O)C1=NCCCC1,127.142,-0.157,3.0,1.0,102.11,0.36872,1.0,1,True
(thiophen-3-yl)methanol,OCC1=CSC=C1,114.168,0.8467,1.0,1.0,89.31,0.37465,1.0,1,True
4-sulfanylbutan-2-ol,OC(C)CCS,106.188,0.797,1.0,1.0,87.99,0.40584,2.0,1,True
"2-methyl-4,5-dihydrofuran-3-thiol",SC1=C(OCC1)C,116.184,1.0704,1.0,0.0,88.56,0.36822,0.0,1,True
thiolane-2-thiol,SC1SCCC1,120.24,1.3529,0.0,0.0,87.13,0.46023,0.0,1,True
3-sulfanylbutan-2-ol,OC(C)C(S)C,106.188,0.749,1.0,1.0,85.23,0.41898,1.0,1,True
"3-ethylbenzene-1,2-diol",OC1=CC=CC(=C1O)CC,138.165,1.7277,2.0,2.0,111.98,0.23397,1.0,1,True
2-methylthiolane-3-thiol,SC1CCSC1C,134.266,1.6135,0.0,0.0,98.13,0.40864,0.0,1,True
2-methylthiolane-2-thiol,SC1(SCCC1)C,134.266,1.8926,0.0,0.0,97.3,0.41213,0.0,1,True
2-ethyl-5-iminocyclopent-1-en-1-ol,N=C1C(O)=C(CC)CC1,125.17,0.722,2.0,2.0,103.12,0.27832,1.0,1,True
"2,6,10,10-tetramethyl-1-oxaspiro[4.5]dec-6-ene-2,8-diol",OC1C=C(C)C2(OC(O)(C)CC2)C(C)(C)C1,226.315,1.7288,3.0,2.0,167.96,0.21553,0.0,1,True
"2-methyl-1,3-dithiolane",S1CCSC1C,120.24,1.2794,0.0,0.0,87.26,0.40087,0.0,1,True
2-methyloxolane-3-thiol,SC1CCOC1C,118.199,0.8592,1.0,0.0,90.64,0.35977,0.0,1,True
"3-(dichloromethylidene)pyrrolidine-2,5-dione",O=C1NC(=O)CC1=C(Cl)Cl,179.99,0.9225,3.0,1.0,114.48,0.32792,0.0,1,True
"1-(3,4-dihydro-2H-1,4-thiazin-5-yl)ethan-1-one",O=C(C1=CSCCN1)C,143.209,0.1646,2.0,1.0,111.19,0.37764,1.0,1,True
"butane-1,3-dithiol",SCCC(S)C,122.255,1.7036,0.0,0.0,97.5,0.46379,2.0,1,True
2-(methylsulfanyl)pyrazine,N=1C=CN=C(SC)C1,126.183,0.2324,2.0,0.0,100.53,0.39222,1.0,1,True
"5-methyl-1,3-thiazole",N1=CSC(=C1)C,99.1567,0.863,1.0,0.0,80.22,0.39055,0.0,1,True
"4,5-dimethyl-1,3-thiazole",N1=CSC(=C1C)C,113.184,1.2609,1.0,0.0,92.48,0.33878,0.0,1,True
3-(methylsulfanyl)thiophene,S1C=CC(SC)=C1,130.235,1.9212,0.0,0.0,98.95,0.38252,1.0,1,True
2-methyl-1-sulfanylbutan-1-ol,OC(S)C(C)CC,120.215,1.1762,1.0,1.0,98.99,0.36074,2.0,1,True
N-[2-(ethylsulfanyl)-2-oxoethyl]ethanimidic acid,O=C(SCC)CN=C(O)C,161.224,-0.2439,3.0,1.0,130.1,0.42383,4.0,1,True
"2,5-dimethyloxolane-3-thiol",SC1CC(OC1C)C,132.226,1.1839,1.0,0.0,101.64,0.32084,0.0,1,True
methoxy(phenyl)phosphinic acid,O=P(O)(OC)C=1C=CC=CC1,172.119,-0.6483,3.0,1.0,125.64,0.31933,2.0,1,True
"2,4-diaminophenol",OC1=CC=C(N)C=C1N,124.143,-0.0407,3.0,3.0,96.65,0.45153,0.0,1,True
2-amino-3-(prop-1-en-1-yldisulfanyl)propanoic acid,O=C(O)C(N)CSSC=CC,193.29,-1.4166,3.0,2.0,146.12,0.52279,5.0,1,True
bis(2-aminoethyl)amine,NCCNCCN,103.168,-2.2385,3.0,3.0,97.04,0.43281,4.0,1,True
thiolan-3-one,O=C1CSCC1,102.157,0.2445,1.0,0.0,76.52,0.39898,0.0,1,True
"butane-2,3-dithiol",SC(C)C(S)C,122.255,1.6556,0.0,0.0,94.74,0.47731,1.0,1,True
"3,4-dichloro-5-hydroxy-2H-pyrrol-2-one",O=C1N=C(O)C(Cl)=C1Cl,165.963,-0.2603,3.0,1.0,100.83,0.3734,0.0,1,True
5-(aminomethyl)-2-methoxyphenol,OC1=CC(=CC=C1OC)CN,153.18,0.2488,3.0,2.0,124.15,0.30906,2.0,1,True
"4-(1H-indol-3-yl)-5-methyl-1,3-thiazol-2-amine",N1=C(SC(=C1C2=CNC=3C=CC=CC32)C)N,229.306,2.8233,3.0,2.0,172.67,0.3509,1.0,1,True
2-(piperidin-2-yl)acetamide,O=C(N)CC1NCCCC1,142.201,-0.1505,3.0,2.0,119.03,0.33412,2.0,1,True
6-amino-2H-chromen-2-one,O=C1OC=2C=CC(N)=CC2C=C1,161.16,0.8201,3.0,1.0,122.53,0.31266,0.0,1,True
2-amino-3-(2-fluorophenyl)propanoic acid,O=C(O)C(N)CC=1C=CC=CC1F,183.181,-1.4484,3.0,2.0,138.49,0.29901,3.0,1,True
2-amino-3-(3-fluorophenyl)propanoic acid,O=C(O)C(N)CC=1C=CC=C(F)C1,183.181,-1.4484,3.0,2.0,138.49,0.29901,3.0,1,True
5-methylthiolan-2-one,O=C1SC(C)CC1,116.184,0.9661,1.0,0.0,87.52,0.34883,0.0,1,True
